國文,英文,數學,地理,歷史
55,83,92,94,76
61,56,76,52,76
89,54,97,60,83
53,75,90,96,78
69,55,56,80,53
84,70,88,60,58
98,66,75,94,70
50,60,73,71,79
61,87,79,100,97
71,68,57,64,81
73,64,56,60,74
55,70,95,93,85
89,92,82,77,67
71,80,93,71,59
78,55,98,52,85
82,68,91,63,64
55,71,58,70,89
93,51,63,89,86
59,99,87,59,58
90,75,71,85,83
69,64,66,81,84
95,86,90,84,81
55,80,51,86,70
91,92,96,61,53
71,55,63,56,58
71,69,97,75,86
71,98,81,79,81
64,93,90,74,50
78,89,89,65,100
63,99,94,57,56
93,90,76,65,76
72,69,73,82,86
72,54,71,69,77
88,83,62,57,94
80,89,88,86,62
96,83,51,51,96
94,91,56,79,71
89,72,79,59,56
96,50,80,63,75
92,50,53,95,53
83,60,59,98,72
90,82,84,90,60
51,58,54,86,60
70,90,84,89,81
99,99,85,62,88
100,63,65,93,81
50,51,93,58,80
56,82,91,66,100
66,72,94,98,68
83,58,64,63,78
